year,name,country,time,date,discipline,gender
2009,Meseret DEFAR,ETH,14:24.37,18 FEB 2009,5000-metres,women
2009,Meselech MELKAMU,ETH,29:53.80,14 JUN 2009,10000-metres,women
2009,David RUDISHA,KEN,1:42.01,06 SEP 2009,800-metres,men
2009,Augustine Kiprono CHOGE,KEN,3:29.47,14 JUN 2009,1500-metres,men
2009,Kenenisa BEKELE,ETH,12:52.32,28 AUG 2009,5000-metres,men
2009,Kenenisa BEKELE,ETH,26:46.31,17 AUG 2009,10000-metres,men
2010,Alysia MONTAÑO,USA,1:57.34,22 JUL 2010,800-metres,women
2010,Maryam Yusuf JAMAL,BRN,3:58.93,29 AUG 2010,1500-metres,women
2010,Meseret DEFAR,ETH,14:24.79,10 FEB 2010,5000-metres,women
2010,Meselech MELKAMU,ETH,31:04.52,27 MAY 2010,10000-metres,women
2010,David RUDISHA,KEN,1:41.01,29 AUG 2010,800-metres,men
2010,Silas KIPLAGAT,KEN,3:29.27,22 JUL 2010,1500-metres,men
2010,Eliud KIPCHOGE,KEN,12:51.21,14 MAY 2010,5000-metres,men
2010,Josphat Kiprono MENJO,KEN,26:56.74,29 AUG 2010,10000-metres,men
2011,Caster SEMENYA,RSA,1:56.35,04 SEP 2011,800-metres,women
2011,Morgan UCENY,USA,4:00.06,16 SEP 2011,1500-metres,women
2011,Vivian Jepkemei CHERUIYOT,KEN,14:20.87,29 JUL 2011,5000-metres,women
2011,Sally KIPYEGO,KEN,30:38.35,01 MAY 2011,10000-metres,women
2011,David RUDISHA,KEN,1:41.33,10 SEP 2011,800-metres,men
2011,Asbel KIPROP,KEN,3:30.46,10 SEP 2011,1500-metres,men
2011,Mo FARAH,GBR,12:53.11,22 JUL 2011,5000-metres,men
2011,Kenenisa BEKELE,ETH,26:43.16,16 SEP 2011,10000-metres,men
2012,Francine NIYONSABA,BDI,1:56.59,07 SEP 2012,800-metres,women
2012,Abeba AREGAWI,ETH,3:56.54,31 MAY 2012,1500-metres,women
2012,Vivian Jepkemei CHERUIYOT,KEN,14:35.62,31 MAY 2012,5000-metres,women
2012,Tirunesh DIBABA,ETH,30:20.75,03 AUG 2012,10000-metres,women
2012,David RUDISHA,KEN,1:40.91,09 AUG 2012,800-metres,men
2012,Asbel KIPROP,KEN,3:28.88,20 JUL 2012,1500-metres,men
2012,Dejen GEBREMESKEL,ETH,12:46.81,06 JUL 2012,5000-metres,men
2012,Emmanuel Kipkemei BETT,KEN,26:51.16,07 SEP 2012,10000-metres,men
2013,Francine NIYONSABA,BDI,1:56.72,01 JUN 2013,800-metres,women
2013,Abeba AREGAWI,SWE,3:56.60,10 MAY 2013,1500-metres,women
2013,Tirunesh DIBABA,ETH,14:23.68,06 JUL 2013,5000-metres,women
